,_id,,location,date,type,subregion,town,county,site,fatalities,losses,source,add,uncertainty,created_at,updated_at,__v,triggering_description,triggering
0,5f568a512226ad7c84db8c31,12,"[-75.85003999999999, 6.06668]",1999-09-15 00:00:00,Landslide,Suroeste,Titiribí,El Líbano,Vereda Campo Alegre,0,0,Corantioquia,En la vereda se presentan procesos geológicos que se combinan con elementos como: altas pendientes suelo inestable aguas abundantes etc. dichos procesos son conocidos por varias instituciones y vienen presentandose desde hace varios años. debido a los fenómenos que allí se presentan no es posible permitir ningún tipo de acción o actividad que interfiera en dichos fenómenos contribuyendo a incrementar y acelerar su inestabilidad entre ellos la minería. se recomienda prohibir cualquier tipo de activid desequilibre el medio ambiente y los procesos que en la vereda se presenten (minería ganadería deforestación). mantener la vigilancia permanente sobre la evolución de los procesos realizar un manejo integral de aguas lluvias subterráneas.// (di6author : c.p. di6date : 18/09/00),Mid,,,,Tala,Anthropic
1,5f568a512226ad7c84db8c3a,18,"[-74.7576179, 6.408748999999999]",1996-12-13 00:00:00,Landslide,Magdalena Medio,Caracolí,,F. el Sol. sector de la Carrilera.,0,0,Corantioquia,Se presenta cerca a la finca el sol un deslizamiento de 20 m de ancho por unos 50m de longitud este se encuentra en proceso de revegetalización. en sector de la carrilera hay varias viviendas al borde de la carrilera sobre un talud una de las viviendas se derrumbo y tuvo que ser demolida. el factor causante son las aguas que se filtran debajo de la carrilera ya que no existen canales conductores además de las quemas ganadería deforestación y altas pendientes. se recomienda en la finca el sol se de hacer una zanja de coronación revegetalizar el talud y cercarlo con el fin de protegerlo del ganado.en el sector la carrilera se aconseja el control de aguas evitar la deforestación y la ganadería. (DI6Author : C.P. DI6Date : 18/09/00),High,,,,Error humano - Deforestación quemas ganadería,Anthropic
2,5f568a512226ad7c84db8c68,57,"[-75.977569, 5.746649]",1999-09-16 00:00:00,Landslide,Suroeste,Betania,,V. la Sucia,0,0,Corantioquia,El deslizamiento es un proceso dinámico remontante y de unos 100m de longitud por 40m de ancho en el sector más afectado y unoss 40m de ancho por 30m de longitud en el sector que aún nose ha deslizado pero que se encuentra en proceso de hacerlo y difícilmente se estabiliza. la mala planificación al construir una vía como insuficiencia en las cunetas y un descole los cuales no recogen bien las aguas lluvias esto sumado a las características de la zona como altas pendientes abundacia de aguas. se recienda manejar correctamente las aguas provenientes de la vía con cunetas descoles disipadores. además deben manejarse las aguas subsuperficiales (con zanjas de coronación) debe estimularse la revegetalización del talud. debe prohibirse actividades. (di6author : c.p. di6date : 20/10/00),High,,,,Error humano - Intervención no planificada del ser humano,Anthropic
3,5f568a512226ad7c84db8c6b,60,"[-75.714701, 5.664999]",1996-07-18 00:00:00,Landslide,Suroeste,Támesis,,V. San Antonio.,0,0,Corantioquia,El problema viene de años atrás. con el invierno se reactivó el fenómeno. el proceso es acelerado. en dos días se desplazó 5 cm. sino se detiene el problema se desploma el camino ya que presenta un agrietamiento que demarca una corona. existe la posibilidad de obstruirse la entrada al túnel por donde corre el río san antonio produciéndose un represamiento. se recomienda recoger las aguas que corren por el camino y desaguar debidamente. realizar un seguimiento diario del agrietamiento tomando medidas. regetalizar con especies adecuadas. no pastoreo. colocar trinchos en los sitios donde sea posible. (DI6Author : C.P. DI6Date : 20/10/00),High,,,,Lluvias - El invierno reactivó el fenómeno,Rainfall
4,5f568a512226ad7c84db8c83,84,"[-75.840589, 5.794161]",1999-06-02 00:00:00,Flood,Suroeste,Pueblorrico,,V. San José de Andes.,0,0,Corantioquia,El problema que se presentó fue un deslizamiento que obstruyó la vía de comunicación que del casco urbano conduce a varias veredas. hasta el dia de la visita se encontraba estable. las causas del fenómeno fueron varias: altas pendientes suelo inestable abundacia de aguas posibles trazas de fallas y acción antrópica (deforestación cultivos limpios ganadería etc.) debido al material transportado por el evento se encuentran amenazados dos puentes.//se recomienda construir drenajes en forma de espina dscado. prohibir actividades que estén en contra de la aptitud de los suelos (ganadería tala quema cultivos limpios etc). realizar manejo de aguas (captarlas conducirlas depositarlas). mantener retiro obligatorio de las quebradas. (di6author : c.p. di6date : 5/11/00),High,,,,Lluvias - Intensas lluvias,Rainfall
5,5f568a512226ad7c84db8c89,90,"[-75.72776689999999, 6.442825699999999]",1996-11-11 00:00:00,Landslide,Occidente,San Jerónimo,,S. Quintanilla.,0,0,Corantioquia,En el sitio quintanilla en la parte posterior del barrio san vicente por la base de esta colina pasa una vía que conduce a una urbanización. la vía ocasiona varios deslizamientos y los trabajos de ampliación han llevado a que los taludes aumenten de pendiente. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Construcción de la vía,Anthropic
6,5f568a512226ad7c84db8ca5,118,"[-75.684091, 6.849736]",1996-10-18 00:00:00,Flood,Norte,San José de la Montaña,,S. el Tejar.,0,0,Corantioquia,En el área urbana se visitó el sector el tejar ligar donde existía una vivienda a la orilla de una quebrada esta vivienda fue afectada por una creciente sin ocasionar ningun desastre esta casa fue demolida y sus habitantes reubicados. el otro sitio de inundaciones es en la calle 24 entre carreras 20 y 21. por ahi pasa una quebrada que en época de creciente ha desestabilizado el cauce. se recomienda reunir periódicamente el comité local de emergencias. organizar el tramo de la quebrada que está afectan la vivienda de la señora guzmán por medio de trinchos estructuras de cemento y hierro o canalizando la quebrada.// (DI6Author : C.P. DI6Date : 5/11/00),High,,,,Lluvias - Intenso invierno,Rainfall
7,5f568a512226ad7c84db8ca7,120,"[-75.39383099999999, 6.485702]",1997-04-29 00:00:00,Flood,Norte,Donmatías,Don Matías,,0,0,Corantioquia,Las viviendas localizadas en las riveras de la quebrada no tienen el retiro mínimo decretado por la ley. se está construyendo un gavión sin ningún control. se debe pensar en obras que protejan las viviendas mitigación de la fuerza de la quebrada en crecientes y recuperación de las riveras. para esto se debe hacer un estudio de la dinámica de la quebrada y su relación con el medio. (di6author : c.p. di6date : 5/11/00),Mid,,,,Lluvias - Altas precipitaciones,Rainfall
8,5f568a512226ad7c84db8ca8,121,"[-75.2197365, 6.6817889]",1997-07-03 00:00:00,Landslide,Norte,Gómez Plata,,Paraje el Hormiguero.,0,0,Corantioquia,Se observan asentamientos movimientos en masa y deslizamientos en un área aproximada de 2 hectáreas. la morfología consta de colinas relativamente bajas y redondeadas con pendientes entre 30 y 60 grados. en caso de ocurrir un deslizamiento de gran magnitud el material caería al río porce ocasionando un represamiento que afectaría a 15 viviendas ubicadas aguas abajo. se recomienda hacer seguimiento al proceso y dar la voz de alerta en caso de acelerarse el fenómeno demoler totalmente los restos de laconstrucciones existentes revegetalizar tratar de ubicar las aguas y conducirlas conservar los canales conductores de agua que existen en el momento. (di6author : c.p. di6date : 5/11/00),High,,,,Lluvias - Intensas lluvias,Rainfall
9,5f568a512226ad7c84db8c56,40,"[-75.8198172, 5.598813199999999]",1996-12-03 00:00:00,Landslide,Suroeste,Jardín,,S. la Chusparrota,0,0,Corantioquia,Quebrada la clara se presentan grietas deslizamientos movimientos en masa humedales deforestación mal manejo del suelo etc. el terreno es muy pendiente tiene muchas aguas el suelo es frágil y la cobertura inadecuada.en la vereda morro amarillo se presenta un deslizamiento por la construcción de una cancha de futbol. se recomienda comprar el terreno para aislarlo sellar grietas y recubrirlas con vegetación. se deben construir en la cancha de futbol filtros cunetas perimentrales gaviones revegalizar el talud. (DI6Author : C.P. DI6Date : 20/10/00),High,,,,Lluvias - Intensos aguaceros,Rainfall
