flood,elevation,slope,aspect,curvature,TPI,TRI,cover_Superficies de Agua,cover_Territorios Agrícolas,cover_Territorios Artificializados
1,1713.93,25.336325,260.888,-0.022460938,-7.6668224,0.5995775,0,0,0
1,1469.92,3.0352306,261.86057,0.030029297,5.2799306,0.07348669,0,0,1
1,1739.66,19.051952,302.884,-0.14248657,-3.6524935,0.46418345,0,0,1
1,1542.09,33.751682,225.0,0.19494629,-6.1429296,0.8653064,0,0,0
1,1483.96,13.349488,290.3413,0.019958496,1.9022988,0.3007298,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1740.47,9.750522,261.63678,-6.1035156e-05,10.184071,0.21736334,0,0,0
1,1490.92,5.2664285,310.60953,-0.009979248,0.18930534,0.11727606,0,0,1
1,1450.15,1.4317467,180.0,3.0517578e-05,-1.9902563,0.03161508,0,0,1
1,1740.47,9.750522,261.63678,-6.1035156e-05,10.184071,0.21736334,0,0,0
1,1517.31,1.9101144,282.95532,-0.0049438477,-0.55921376,0.04241609,0,0,1
1,1677.29,14.025713,283.89703,0.03253174,-0.8833559,0.31908885,0,0,1
1,1490.92,5.2664285,310.60953,-0.009979248,0.18930534,0.11727606,0,0,1
1,1490.92,5.2664285,310.60953,-0.009979248,0.18930534,0.11727606,0,0,1
1,1483.96,13.349488,290.3413,0.019958496,1.9022988,0.3007298,0,0,1
1,1450.15,1.4317467,180.0,3.0517578e-05,-1.9902563,0.03161508,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1542.09,33.751682,225.0,0.19494629,-6.1429296,0.8653064,0,0,0
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1558.16,9.1257925,290.97266,-0.0074768066,1.2703277,0.20360631,0,0,1
1,1895.26,4.725962,356.5292,-0.012512207,-2.2037773,0.10538296,0,1,0
1,1534.26,2.152706,86.18283,-0.0049743652,0.09380428,0.047755085,0,0,1
1,1739.66,19.051952,302.884,-0.14248657,-3.6524935,0.46418345,0,0,1
1,1555.48,12.978342,273.73535,0.005004883,-0.0009777606,0.29159287,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1555.48,12.978342,273.73535,0.005004883,-0.0009777606,0.29159287,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1738.77,15.331247,313.15063,-0.01751709,-6.853385,0.34720078,0,0,0
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1473.65,31.829426,252.66077,-0.0025024414,11.893387,0.78556687,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1558.16,9.1257925,290.97266,-0.0074768066,1.2703277,0.20360631,0,0,1
1,1666.79,12.115827,243.73364,0.017547607,-1.2212298,0.2720743,0,0,1
1,1611.77,23.475512,203.76054,0.07254028,-1.4983577,0.55393773,0,0,1
1,1455.18,17.428982,185.48337,0.012542725,-4.333591,0.39757022,0,0,1
1,1606.88,10.176024,282.86902,-0.005004883,-0.13025577,0.22713527,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1450.15,1.4317467,180.0,3.0517578e-05,-1.9902563,0.03161508,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1555.48,12.978342,273.73535,0.005004883,-0.0009777606,0.29159287,0,0,1
1,1630.99,16.223465,319.87973,-0.045013428,-1.8533691,0.37068203,0,0,1
1,1677.29,14.025713,283.89703,0.03253174,-0.8833559,0.31908885,0,0,1
1,1630.99,16.223465,319.87973,-0.045013428,-1.8533691,0.37068203,0,0,1
1,1490.92,5.2664285,310.60953,-0.009979248,0.18930534,0.11727606,0,0,1
1,1561.63,9.684194,328.17166,0.015014648,1.5904094,0.2185239,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1558.16,9.1257925,290.97266,-0.0074768066,1.2703277,0.20360631,0,0,1
1,1895.26,4.725962,356.5292,-0.012512207,-2.2037773,0.10538296,0,1,0
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1607.51,16.626106,295.27655,0.06750488,-0.09984463,0.3872453,0,0,1
1,1517.31,1.9101144,282.95532,-0.0049438477,-0.55921376,0.04241609,0,0,1
1,1561.63,9.684194,328.17166,0.015014648,1.5904094,0.2185239,0,0,1
1,1468.29,5.1501713,340.5589,-0.019958496,4.051659,0.115742765,0,0,1
1,1485.29,5.995376,308.2386,-0.04244995,2.6357446,0.13832544,0,0,1
1,1490.92,5.2664285,310.60953,-0.009979248,0.18930534,0.11727606,0,0,1
1,1706.15,8.995993,248.69287,0.030029297,2.1884353,0.21024354,0,0,1
1,1517.31,1.9101144,282.95532,-0.0049438477,-0.55921376,0.04241609,0,0,1
